iso_time,BTC Trend (default),ETH Trend (optimized),SOL Trend (optimized)
2023-10-13 00:00:00+00:00,123203.21325890797,81465.00765029574,121313.0556643375
2023-10-14 00:00:00+00:00,123203.21325890797,81465.00765029574,121313.0556643375
2023-10-15 00:00:00+00:00,123203.21325890797,81465.00765029574,121313.0556643375
2023-10-16 00:00:00+00:00,127654.56736855888,82213.92854083364,132537.9886750374
2023-10-17 00:00:00+00:00,127032.31296389639,79617.4146026721,132336.84121966118
2023-10-18 00:00:00+00:00,126581.01379402555,79617.4146026721,128320.18144240955
2023-10-19 00:00:00+00:00,128864.58087518928,79617.4146026721,131611.46000025852
2023-10-20 00:00:00+00:00,134436.75224680585,79617.4146026721,147288.39323122645
2023-10-21 00:00:00+00:00,135859.83213747264,80214.74936610831,165047.85875194034
2023-10-22 00:00:00+00:00,136342.9523161771,82781.70879146966,162772.13106727917
2023-10-23 00:00:00+00:00,154677.57719509635,90456.04974429769,185325.7359561355
2023-10-24 00:00:00+00:00,159805.93365212742,91893.82545687965,166232.18269787708
2023-10-25 00:00:00+00:00,163277.1380313762,92021.20331542451,164869.23536608653
2023-10-26 00:00:00+00:00,161150.58722351928,90712.18218723522,156604.56111636397
2023-10-27 00:00:00+00:00,159008.62779719205,90712.18218723522,156604.56111636397
2023-10-28 00:00:00+00:00,159008.62779719205,90712.18218723522,156604.56111636397
2023-10-29 00:00:00+00:00,159008.62779719205,90712.18218723522,156604.56111636397
2023-10-30 00:00:00+00:00,159008.62779719205,90712.18218723522,158361.50016048088
2023-10-31 00:00:00+00:00,158750.51601267682,90712.18218723522,180570.86947313676
2023-11-01 00:00:00+00:00,156969.10433742392,92449.81824239956,202252.09989141984
2023-11-02 00:00:00+00:00,156969.10433742392,89796.81722169914,202252.09989141984
2023-11-03 00:00:00+00:00,156969.10433742392,89796.81722169914,202252.09989141984
2023-11-04 00:00:00+00:00,156969.10433742392,89796.81722169914,202252.09989141984
2023-11-05 00:00:00+00:00,156969.10433742392,91596.26797372219,202252.09989141984
2023-11-06 00:00:00+00:00,156969.10433742392,92248.26931694681,202252.09989141984
2023-11-07 00:00:00+00:00,154323.2657491183,89963.82405297118,202252.09989141984
2023-11-08 00:00:00+00:00,155594.59810103528,89963.82405297118,202252.09989141984
2023-11-09 00:00:00+00:00,161686.01832289487,104379.5075956632,197671.4733780708
2023-11-10 00:00:00+00:00,165114.90928256608,101184.7225231968,243606.7672327742
2023-11-11 00:00:00+00:00,164122.92173209472,99365.72017034414,235030.68437163913
2023-11-12 00:00:00+00:00,163093.73461420625,98297.98663138441,235030.68437163913
2023-11-13 00:00:00+00:00,163093.73461420625,98297.98663138441,235030.68437163913
2023-11-14 00:00:00+00:00,163093.73461420625,98297.98663138441,235030.68437163913
2023-11-15 00:00:00+00:00,163093.73461420625,98297.98663138441,235030.68437163913
2023-11-16 00:00:00+00:00,163093.73461420625,98297.98663138441,209014.95482967776
2023-11-17 00:00:00+00:00,163093.73461420625,98297.98663138441,209014.95482967776
2023-11-18 00:00:00+00:00,163093.73461420625,98297.98663138441,209014.95482967776
2023-11-19 00:00:00+00:00,163093.73461420625,98297.98663138441,209014.95482967776
2023-11-20 00:00:00+00:00,161595.76877553193,98297.98663138441,209014.95482967776
2023-11-21 00:00:00+00:00,158437.38903984465,98297.98663138441,209014.95482967776
2023-11-22 00:00:00+00:00,158437.38903984465,99008.64949335743,209014.95482967776
2023-11-23 00:00:00+00:00,158437.38903984465,98915.86224089439,209014.95482967776
2023-11-24 00:00:00+00:00,158707.30550397438,100236.27176178838,209014.95482967776
2023-11-25 00:00:00+00:00,159072.27650486218,100397.171965168,209014.95482967776
2023-11-26 00:00:00+00:00,157607.41096244557,99605.74013339778,209014.95482967776
2023-11-27 00:00:00+00:00,157607.41096244557,99605.74013339778,209014.95482967776
2023-11-28 00:00:00+00:00,157607.41096244557,99605.74013339778,209014.95482967776
2023-11-29 00:00:00+00:00,155458.9183951735,99605.74013339778,209014.95482967776
2023-11-30 00:00:00+00:00,153910.9727937631,99605.74013339778,197556.252396652
2023-12-01 00:00:00+00:00,153977.83759225835,99633.44505895629,199881.78097602376
2023-12-02 00:00:00+00:00,157950.92698469487,105212.86677697551,218494.13517234632
2023-12-03 00:00:00+00:00,160660.7714003926,107267.83229898445,214927.28911920308
2023-12-04 00:00:00+00:00,171261.67407192668,110926.72698752681,204792.95610260265
2023-12-05 00:00:00+00:00,182343.9803108003,114623.47328222594,204792.95610260265
2023-12-06 00:00:00+00:00,180654.7196309027,109483.96437532562,204792.95610260265
2023-12-07 00:00:00+00:00,178033.24633542795,113072.96571343974,211958.54730187426
2023-12-08 00:00:00+00:00,177518.2602778661,113285.64111567107,243780.89023014135
2023-12-09 00:00:00+00:00,177518.2602778661,111957.72428879251,231793.29527380908
2023-12-10 00:00:00+00:00,177518.2602778661,111278.05099147873,243125.68916902711
2023-12-11 00:00:00+00:00,177518.2602778661,111278.05099147873,231570.75541740196
2023-12-12 00:00:00+00:00,177518.2602778661,111278.05099147873,231570.75541740196
2023-12-13 00:00:00+00:00,177518.2602778661,111278.05099147873,231570.75541740196
2023-12-14 00:00:00+00:00,177518.2602778661,111278.05099147873,231570.75541740196
2023-12-15 00:00:00+00:00,177518.2602778661,111278.05099147873,212797.41153065342
2023-12-16 00:00:00+00:00,177518.2602778661,111278.05099147873,215789.78005366327
2023-12-17 00:00:00+00:00,177518.2602778661,111278.05099147873,215789.78005366327
2023-12-18 00:00:00+00:00,177518.2602778661,111278.05099147873,215789.78005366327
2023-12-19 00:00:00+00:00,177518.2602778661,111278.05099147873,215789.78005366327
2023-12-20 00:00:00+00:00,180075.17930292184,111278.05099147873,228144.54891087225
2023-12-21 00:00:00+00:00,181095.57052654956,108592.55039682142,273904.4541009284
2023-12-22 00:00:00+00:00,181650.53976647256,114801.22998598071,290033.62994960725
2023-12-23 00:00:00+00:00,178732.0547511737,113587.40560992154,331788.12984839483
2023-12-24 00:00:00+00:00,178732.0547511737,111515.84864277282,351137.4252314438
