CAGR,AnnualVol,Sharpe,Sortino,MaxDrawdown,HitRatio,FinalMultiple,entry_buffer,entry_leverage,trailing_stop,cooldown,panic_threshold
1.8147268753469703,0.6024029261198628,2.0194310069515877,1.2240870427486552,-0.24821104227912216,0.111175,2.198045749289005,0.992,1.4,0.12,288,-0.05
1.2164835620488534,0.5999845628042034,1.626958567625554,0.9642509512001091,-0.24821104227911983,0.1078375,1.8325793844223535,0.992,1.4,0.12,432,-0.09
1.2164835620488534,0.5999845628042034,1.626958567625554,0.9642509512001091,-0.24821104227911983,0.1078375,1.8325793844223535,0.992,1.4,0.12,432,-0.07
1.3373407397250094,0.5970280294745842,1.7209201138023897,1.026357729855482,-0.24821104227911983,0.1078125,1.9081405991735394,0.992,1.4,0.12,432,-0.05
1.1206944773610221,0.40388772765132325,2.0632837671449735,1.2417174982227037,-0.1384416294728832,0.105325,1.771990003106326,0.994,1.0,0.08,144,-0.09
1.1206944773610221,0.40388772765132325,2.0632837671449735,1.2417174982227037,-0.1384416294728832,0.105325,1.771990003106326,0.994,1.0,0.08,144,-0.07
1.201839088426412,0.4016460949120338,2.1660084096432937,1.314008584705268,-0.1226032747731911,0.1053,1.8233574860739963,0.994,1.0,0.08,144,-0.05
1.1517478129263772,0.39117209925928825,2.1545919945986722,1.299752481214511,-0.13844162947288152,0.103825,1.7917024310717558,0.994,1.0,0.08,288,-0.09
1.1517478129263772,0.39117209925928825,2.1545919945986722,1.299752481214511,-0.13844162947288152,0.103825,1.7917024310717558,0.994,1.0,0.08,288,-0.07
1.2340806247739247,0.3888571635458735,2.261627582338316,1.3764444910126687,-0.12260327477319255,0.1038,1.8436413494346495,0.994,1.0,0.08,288,-0.05
1.0247957363304288,0.3879452969983633,2.0125193019074112,1.1987108973800233,-0.13844162947288152,0.1012375,1.7106723360892742,0.994,1.0,0.08,432,-0.09
1.0247957363304288,0.3879452969983633,2.0125193019074112,1.1987108973800233,-0.13844162947288152,0.1012375,1.7106723360892742,0.994,1.0,0.08,432,-0.07
1.102270952239801,0.3856110464287183,2.1197038271370845,1.2738985840857793,-0.122603274773194,0.1012125,1.7602623066496441,0.994,1.0,0.08,432,-0.05
1.361623773337595,0.41722675958645594,2.26831633204813,1.375360906948987,-0.1411594773958158,0.1065625,1.9232087093278898,0.994,1.0,0.1,144,-0.09
1.361623773337595,0.41722675958645594,2.26831633204813,1.375360906948987,-0.1411594773958158,0.1065625,1.9232087093278898,0.994,1.0,0.1,144,-0.07
1.4519871163914821,0.4150570793478315,2.368435951016587,1.4468744251640628,-0.1411594773958158,0.1065375,1.9789598086266975,0.994,1.0,0.1,144,-0.05
1.3358204738967951,0.41602349771367786,2.247264110883464,1.3585026072982924,-0.1411594773958157,0.1057875,1.9071960028075916,0.994,1.0,0.1,288,-0.09
1.3358204738967951,0.41602349771367786,2.247264110883464,1.3585026072982924,-0.1411594773958157,0.1057875,1.9071960028075916,0.994,1.0,0.1,288,-0.07
1.425196499484779,0.4138475188503954,2.3476001818424708,1.4298856103813957,-0.1411594773958157,0.1057625,1.9624829164010547,0.994,1.0,0.1,288,-0.05
1.1980081996445695,0.41299104304697504,2.1134738591954356,1.2619230585255898,-0.14115947739581614,0.1032,1.8209426883186886,0.994,1.0,0.1,432,-0.09
1.1980081996445695,0.41299104304697504,2.1134738591954356,1.2619230585255898,-0.14115947739581614,0.1032,1.8209426883186886,0.994,1.0,0.1,432,-0.07
1.2821110831021807,0.4107990544151889,2.213928192422503,1.3319903214439113,-0.14115947739581614,0.103175,1.8737292403665784,0.994,1.0,0.1,432,-0.05
